Number,Dialogue,Reponse,URL,hash,work_id,title,author,fandom,words,category,Banter
1,"There's a sharp thud of someone smacking straight into the doorframe, followed by a hiss of, ""Ow! Fuck...""","Jason stands back up, slapping on the light switch with a frown. ""Dickface?""",https://archiveofourown.org/works/32927371,0xda075df84d81841870baab6e2ade20f75198d6f379330e949e5931ba84c8824b,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
6,"Dick's gaze travels around the room, taking in the various ingredients before landing on the recipe's title in the open cookbook. He looks up again, blinking at his brother. ""Really, Jay?"" he says flatly. ""On his birthday?""","""I had a rough couple weeks!"" Jason defends. Using the knife, he gestures vaguely at Dick's injuries. ""Now, why do you look like someone beat the snot out of you?""",https://archiveofourown.org/works/32927371,0x73a321be6af80875a52daa6bf0cf197edd77275184eb053d2129e66c05ca1776,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
7,"""I had a rough couple weeks!"" Jason defends. Using the knife, he gestures vaguely at Dick's injuries. ""Now, why do you look like someone beat the snot out of you?""","Dick shifts uncomfortably. ""Sting operation back in Blud',"" he says, moving gingerly over to the walk-in pantry. ""Didn't go entirely to plan.""",https://archiveofourown.org/works/32927371,0x3e9cc09688c48339f08788066fa997bf40ca2a5c694d1dbf179fa5d116708e58,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
8,"Dick shifts uncomfortably. ""Sting operation back in Blud',"" he says, moving gingerly over to the walk-in pantry. ""Didn't go entirely to plan.""","Jason snorts. ""And you're always telling  me  not to go in with no back-up.""",https://archiveofourown.org/works/32927371,0xc735905cdd42e540bdb52c190321cf0c582f4cf890331b36660567d118502251,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
9,"Jason snorts. ""And you're always telling  me  not to go in with no back-up.""","""Hey, I  tried  to get back-up,"" Dick huffs, opening a hidden panel inside the pantry to reveal Alfred's meticulously well-stocked medicine cabinet. He starts rifling through the painkiller section. ""Roy said he was game to help me take down these guys months ago, but suddenly it's time to strike and the guy's not answering his phone.""",https://archiveofourown.org/works/32927371,0x80b8a924fe60cbbdcf2d23c1b4163a12631e8e5068eacf266e8995dcb1970b24,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
14,"Jason rolls his eyes because  honestly,  how do these idiots survive without him? ""We go over this every time. Percocet is oxycodone. Norco is hydrocodone.""","""What's Vicodin then?"" he asks, holding up a different bottle.",https://archiveofourown.org/works/32927371,0x09030355738f8f28ba39e3dd57745cca09e0c72958578b0ec81de97d74d7ed60,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
16,"""Also hydrocodone.""","""Well that's not confusing at all..."" Dick mutters, shaking out two Vicodin into his open palm. He tosses them back dry. ""Ugh."" He makes a face. ""Nasty.""",https://archiveofourown.org/works/32927371,0x47b1939a7afaa7aabbebb46c2bc99aea135eb29cbd4ced765705995b61431682,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
17,"""Well that's not confusing at all..."" Dick mutters, shaking out two Vicodin into his open palm. He tosses them back dry. ""Ugh."" He makes a face. ""Nasty.""","Jason's eyebrows raise. It's not like Dick--or any of them, really--to break out The Good Stuff willy-nilly. ""Just how hurt are you?""",https://archiveofourown.org/works/32927371,0x7605ad0d078608e81347dc201792c059a6c0a1a5ae44c6fba1b2e5b903bb79ec,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
18,"Jason's eyebrows raise. It's not like Dick--or any of them, really--to break out The Good Stuff willy-nilly. ""Just how hurt are you?""","Dick gives a one-armed shrug. ""Eh, cracked a couple ribs. Bruised a kidney. Popped my shoulder out again...""",https://archiveofourown.org/works/32927371,0x4fac0dd574835a6270d7c6ae70ad8d0a5b5432877248717d5db7d9b94b25519e,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,0
19,"Dick gives a one-armed shrug. ""Eh, cracked a couple ribs. Bruised a kidney. Popped my shoulder out again...""","Jason snorts. ""I'm surprised that shoulder's even still attached at this point. You dislocate it every other week.""",https://archiveofourown.org/works/32927371,0x9addfe89b9304ebacd8f50a11d07d2647342ffcb7ac1569f2138c0baca09a41e,32927371,World’s Saddest Breakfast Club,motleyfam,"Batman - All Media Types,DCU (Comics),Batman (Comics),Batman: Wayne Family Adventures (Webcomic)","7,000",Gen,1
